idedomuny;NomMun;pob_total;pob_hombres;pob_mujeres
1400880;ARANDAS;45800;22111;23689
1400980;ARENAL EL;9136;4549;4587
1401080;ATEMAJAC DE BRIZUELA;5507;2754;2753
1401180;ATENGO;5422;2648;2774
1401280;ATENGUILLO;4730;2250;2480
1401380;ATOTONILCO EL ALTO;40619;19708;20911
1401480;ATOYAC;8960;4349;4611
1401580;AUTLAN;41499;20272;21227
1401680;AYO EL CHICO;27080;13274;13806
1401780;AYUTLA;14196;7067;7129
1401880;BARCA LA;46666;22440;24226
1401980;BOLAÑOS;6528;3255;3273
1402080;CABO CORRIENTES;6785;3588;3197
1402180;CASIMIRO CASTILLO;19025;9626;9399
1402280;CAÑADAS DE OBREGON;5983;2905;3078
1402380;CIHUATLAN;20452;10321;10131
1402480;CIUDAD GUZMAN;62353;30035;32318
1402580;COCULA;23267;11459;11808
1402680;COLOTLAN;14932;7135;7797
1402780;CONCEPCION DE BUENOS AIRES;6361;3078;3283
1402880;CUAUTITLAN;12926;6554;6372
1402980;CUAUTLA;3164;1503;1661
1403080;CUQUIO;18467;9152;9315
1403180;CHAPALA;30629;14847;15782
1403280;CHIMALTITAN;4054;1993;2061
1403380;CHIQUILISTLAN;4743;2343;2400
1403480;DEGOLLADO;18262;9079;9183
1403580;EJUTLA;2578;1254;1324
1403680;ENCARNACION DE DIAZ;35585;17399;18186
1403780;ETZATLAN;14859;7270;7589
1403880;GRULLO EL;18869;9337;9532
1403980;GUACHINANGO;5539;2790;2749
1404080;GUADALAJARA;1626152;782275;843877
1404180;HOSTOTIPAQUILLO;7760;3828;3932
1404280;HUEJUCAR;7878;3734;4144
1404380;HUEJUQUILLA EL ALTO;9563;4627;4936
1404480;HUERTA, LA;19283;9848;9435
1404580;IXTLAHUACAN DE LOS MEMBRILLOS;12310;6176;6134
1404680;IXTLAHUACAN DEL RIO;18833;9402;9431
1404780;JALOSTOTITLAN;19694;9405;10289
1404880;JAMAY;16848;8398;8450
1404980;JESUS MARIA;18473;9023;9450
1405080;JILOTLAN DE LOS DOLORES;10592;5259;5333
1405180;JOCOTEPEC;24746;12134;12612
1405280;JUANACATLAN;8081;4122;3959
1405380;JUCHITLAN;6418;3111;3307
1405480;LAGOS DE MORENO;84305;41593;42712
1405580;LIMON EL;7277;3628;3649
1405680;MAGDALENA;14181;6804;7377
1405780;MANUEL M DIEGUEZ;3612;1804;1808
1405880;MANZANILLA DE LA PAZ LA;3713;1822;1891
1405980;MASCOTA;14945;7350;7595
1406080;MAZAMITLA;8765;4222;4543
1406180;MEXTICACAN;7623;3579;4044
1406280;MEZQUITIC;15040;7338;7702
1406380;MIXTLAN;3816;1854;1962
1406480;OCOTLAN;59196;28899;30297
1406580;OJUELOS DE JALISCO;20214;10236;9978
1406680;PIHUAMO;17469;8591;8878
1406780;PONCITLAN;26905;13159;13746
1406880;PUERTO VALLARTA;57028;28385;28643
1406980;PURIFICACION;10763;5295;5468
1407080;QUITUPAN;14592;6990;7602
1407180;SALTO EL;19887;9993;9894
1407280;SAN CRISTOBAL DE LA BARRANCA;4864;2393;2471
1407380;SAN DIEGO DE ALEJANDRIA;6332;3140;3192
1407480;SAN JUAN DE LOS LAGOS;36577;17646;18931
1407580;SAN JULIAN;10583;5096;5487
1407680;SAN MARCOS;2803;1384;1419
1407780;SAN MARTIN DE BOLAÑOS;4604;2178;2426
1407880;SAN MARTIN HIDALGO;21779;10784;10995
1407980;SAN MIGUEL EL ALTO;23053;11177;11876
1408080;SAN SEBASTIAN EX-9 CANTON;10616;5246;5370
1408180;SAN SEBASTIAN EX-10 CANTON;7763;3888;3875
1408280;SANTA MARIA DE LOS ANGELES;5678;2741;2937
1408380;SAYULA;24603;11857;12746
1408480;TALA;40458;20187;20271
1408580;TALPA DE ALLENDE;13058;6471;6587
1408680;TAMAZULA DE GORDIANO;40377;19731;20646
1408780;TAPALPA;11505;5757;5748
1408880;TECALITLA;17287;8402;8885
1408980;TECOLOTLAN;14974;7405;7569
1409080;TECHALUTA;3166;1572;1594
1409180;TENAMAXTLAN;7706;3780;3926
1409280;TEOCALTICHE;33174;16073;17101
1409380;TEOCUITATLAN DE CORONA;13020;6401;6619
1409480;TEPATITLAN DE MORELOS;78364;37729;40635
1409580;TEQUILA;26718;13189;13529
1409680;TEUCHITLAN;7610;3752;3858
1409780;TIZAPAN EL ALTO;17531;8743;8788
1409880;TLAJOMULCO;50697;25327;25370
1409980;TLAQUEPAQUE;177324;87585;89739
1410080;TOLIMAN;8379;4171;4208
1410180;TOMATLAN;23586;12340;11246
