idedomun;IDH_ingpc;;;;;;;;;;;;;;;;;;
12052;4800;;;;;;;;;;;;;;;;;;
12053;6100;;;;;;;;;;;;;;;;;;
12054;4540;;;;;;;;;;;;;;;;;;
12055;9398;;;;;;;;;;;;;;;;;;
12056;4849;;;;;;;;;;;;;;;;;;
12057;7584;;;;;;;;;;;;;;;;;;
12058;7134;;;;;;;;;;;;;;;;;;
12059;7492;;;;;;;;;;;;;;;;;;
12060;5412;;;;;;;;;;;;;;;;;;
12061;7988;;;;;;;;;;;;;;;;;;
12062;3582;;;;;;;;;;;;;;;;;;
12063;4154;;;;;;;;;;;;;;;;;;
12064;7730;;;;;;;;;;;;;;;;;;
12065;2900;;;;;;;;;;;;;;;;;;
12066;6717;;;;;;;;;;;;;;;;;;
12067;8471;;;;;;;;;;;;;;;;;;
12068;5143;;;;;;;;;;;;;;;;;;
12069;4217;;;;;;;;;;;;;;;;;;
12070;5138;;;;;;;;;;;;;;;;;;
12071;3653;;;;;;;;;;;;;;;;;;
12072;3436;;;;;;;;;;;;;;;;;;
12073;4124;;;;;;;;;;;;;;;;;;
12074;4000;;;;;;;;;;;;;;;;;;
12075;8075;;;;;;;;;;;;;;;;;;
12076;3038;;;;;;;;;;;;;;;;;;
12077;6863;;;;;;;;;;;;;;;;;;
12078;2417;;;;;;;;;;;;;;;;;;
12079;2752;;;;;;;;;;;;;;;;;;
12080;5866;;;;;;;;;;;;;;;;;;
12081;4555;;;;;;;;;;;;;;;;;;
13001;6059;;;;;;;;;;;;;;;;;;
13002;4968;;;;;;;;;;;;;;;;;;
13003;10805;;;;;;;;;;;;;;;;;;
13004;5222;;;;;;;;;;;;;;;;;;
13005;8841;;;;;;;;;;;;;;;;;;
13006;6531;;;;;;;;;;;;;;;;;;
13007;7571;;;;;;;;;;;;;;;;;;
13008;8979;;;;;;;;;;;;;;;;;;
13009;6723;;;;;;;;;;;;;;;;;;
13010;14036;;;;;;;;;;;;;;;;;;
13011;6233;;;;;;;;;;;;;;;;;;
13012;8096;;;;;;;;;;;;;;;;;;
13013;13129;;;;;;;;;;;;;;;;;;
13014;4800;;;;;;;;;;;;;;;;;;
13015;8317;;;;;;;;;;;;;;;;;;
13016;7315;;;;;;;;;;;;;;;;;;
13017;6282;;;;;;;;;;;;;;;;;;
13018;5629;;;;;;;;;;;;;;;;;;
13019;5937;;;;;;;;;;;;;;;;;;
13020;5782;;;;;;;;;;;;;;;;;;
13021;10778;;;;;;;;;;;;;;;;;;
13022;10110;;;;;;;;;;;;;;;;;;
13023;10308;;;;;;;;;;;;;;;;;;
13024;8429;;;;;;;;;;;;;;;;;;
13025;5773;;;;;;;;;;;;;;;;;;
13026;4146;;;;;;;;;;;;;;;;;;
13027;4241;;;;;;;;;;;;;;;;;;
